s_ph,s_temp,s_do,s_turbidity,index_heure
-2.56e-06,3.48e-05,0.001006,-0.001347,488
-2.56e-06,3.48e-05,0.001006,-0.001347,489
-2.56e-06,3.48e-05,0.001006,-0.001347,490
-2.56e-06,3.48e-05,0.001006,-0.001347,491
-2.56e-06,3.48e-05,0.001006,-0.001347,492
-2.56e-06,3.48e-05,0.001006,-0.001347,493
-2.56e-06,3.48e-05,0.001006,-0.001347,494
-2.56e-06,3.48e-05,0.001006,-0.001347,495
-2.56e-06,3.48e-05,0.001006,-0.001347,496
-2.56e-06,3.48e-05,0.001006,-0.001347,497
-2.56e-06,3.48e-05,0.001006,-0.001347,498
-2.56e-06,3.48e-05,0.001006,-0.001347,499
-2.56e-06,3.48e-05,0.001006,-0.001347,500
-2.56e-06,3.48e-05,0.001006,-0.001347,501
-2.56e-06,3.48e-05,0.001006,-0.001347,502
-2.56e-06,3.48e-05,0.001006,-0.001347,503
-2.56e-06,3.48e-05,0.001006,-0.001347,504
-2.56e-06,3.48e-05,0.001006,-0.001347,505
-2.56e-06,3.48e-05,0.001006,-0.001347,506
-2.56e-06,3.48e-05,0.001006,-0.001347,507
-2.56e-06,3.48e-05,0.001006,-0.001347,508
-2.56e-06,3.48e-05,0.001006,-0.001347,509
-2.56e-06,3.48e-05,0.001006,-0.001347,510
-2.56e-06,3.48e-05,0.001006,-0.001347,511
-2.56e-06,3.48e-05,0.001006,-0.001347,512
-2.56e-06,3.48e-05,0.001006,-0.001347,513
-2.56e-06,3.48e-05,0.001006,-0.001347,514
-2.56e-06,3.48e-05,0.001006,-0.001347,515
-2.56e-06,3.48e-05,0.001006,-0.001347,516
-2.56e-06,3.48e-05,0.001006,-0.001347,517
-2.56e-06,3.48e-05,0.001006,-0.001347,518
-2.56e-06,3.48e-05,0.001006,-0.001347,519
-2.56e-06,3.48e-05,0.001006,-0.001347,520
-2.56e-06,3.48e-05,0.001006,-0.001347,521
-2.56e-06,3.48e-05,0.001006,-0.001347,522
-2.56e-06,3.48e-05,0.001006,-0.001347,523
-2.56e-06,3.48e-05,0.001006,-0.001347,524
-2.56e-06,3.48e-05,0.001006,-0.001347,525
-2.56e-06,3.48e-05,0.001006,-0.001347,526
-2.56e-06,3.48e-05,0.001006,-0.001347,527
-2.56e-06,3.48e-05,0.001006,-0.001347,528
-2.56e-06,3.48e-05,0.001006,-0.001347,529
-2.56e-06,3.48e-05,0.001006,-0.001347,530
-2.56e-06,3.48e-05,0.001006,-0.001347,531
-2.56e-06,3.48e-05,0.001006,-0.001347,532
-2.56e-06,3.48e-05,0.001006,-0.001347,533
-2.56e-06,3.48e-05,0.001006,-0.001347,534
-2.56e-06,3.48e-05,0.001006,-0.001347,535
-2.56e-06,3.48e-05,0.001006,-0.001347,536
-2.56e-06,3.48e-05,0.001006,-0.001347,537
-2.56e-06,3.48e-05,0.001006,-0.001347,538
-2.56e-06,3.48e-05,0.001006,-0.001347,539
-2.56e-06,3.48e-05,0.001006,-0.001347,540
-2.56e-06,3.48e-05,0.001006,-0.001347,541
-2.56e-06,3.48e-05,0.001006,-0.001347,542
-2.56e-06,3.48e-05,0.001006,-0.001347,543
-2.56e-06,3.48e-05,0.001006,-0.001347,544
-2.56e-06,3.48e-05,0.001006,-0.001347,545
-2.56e-06,3.48e-05,0.001006,-0.001347,546
-2.56e-06,3.48e-05,0.001006,-0.001347,547
-2.56e-06,3.48e-05,0.001006,-0.001347,548
-2.56e-06,3.48e-05,0.001006,-0.001347,549
-2.56e-06,3.48e-05,0.001006,-0.001347,550
-2.56e-06,3.48e-05,0.001006,-0.001347,551
-2.56e-06,3.48e-05,0.001006,-0.001347,552
-2.56e-06,3.48e-05,0.001006,-0.001347,553
-2.56e-06,3.48e-05,0.001006,-0.001347,554
-2.56e-06,3.48e-05,0.001006,-0.001347,555
-2.56e-06,3.48e-05,0.001006,-0.001347,556
-2.56e-06,3.48e-05,0.001006,-0.001347,557
-2.56e-06,3.48e-05,0.001006,-0.001347,558
-2.56e-06,3.48e-05,0.001006,-0.001347,559
-2.56e-06,3.48e-05,0.001006,-0.001347,560
-2.56e-06,3.48e-05,0.001006,-0.001347,561
-2.56e-06,3.48e-05,0.001006,-0.001347,562
-2.56e-06,3.48e-05,0.001006,-0.001347,563
-2.56e-06,3.48e-05,0.001006,-0.001347,564
-2.56e-06,3.48e-05,0.001006,-0.001347,565
-2.56e-06,3.48e-05,0.001006,-0.001347,566
-2.56e-06,3.48e-05,0.001006,-0.001347,567
-2.56e-06,3.48e-05,0.001006,-0.001347,568
-2.56e-06,3.48e-05,0.001006,-0.001347,569
-2.56e-06,3.48e-05,0.001006,-0.001347,570
-2.56e-06,3.48e-05,0.001006,-0.001347,571
-2.56e-06,3.48e-05,0.001006,-0.001347,572
-2.56e-06,3.48e-05,0.001006,-0.001347,573
-2.56e-06,3.48e-05,0.001006,-0.001347,574
-2.56e-06,3.48e-05,0.001006,-0.001347,575
-2.56e-06,3.48e-05,0.001006,-0.001347,576
-2.56e-06,3.48e-05,0.001006,-0.001347,577
-2.56e-06,3.48e-05,0.001006,-0.001347,578
-2.56e-06,3.48e-05,0.001006,-0.001347,579
-2.56e-06,3.48e-05,0.001006,-0.001347,580
-2.56e-06,3.48e-05,0.001006,-0.001347,581
